"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T","CIB"
"49","D","Walker, Kyle - TOT","FA","WHU Sun 4:00PM","276.67","276.67","1","1","90","0","0","0","1","1","1.0","0","0","8","8","0","22","0","2","0","0","0","0","0","0","0","39","26","66.7","4","0","0","0","0","0","0","0","5","0","4","3","1","0","0","0","1","11","1","1","0","0","0","0","0","0","23","0","0","0","0","0","0","1","1","10","10","0","0","1","0","0"
"50","M","Eriksen, Christian - TOT","FA","WHU Sun 4:00PM","274.36","274.36","1","1","90","0","0","4","3","2","0.7","0","0","2","2","0","22","0","3","0","0","0","0","0","0","0","43","30","69.8","12","5","2","3","1","0","0","0","1","0","0","0","2","0","0","0","0","5","4","0","0","0","1","0","0","0","22","0","0","0","0","0","0","0","1","0","10","0","0","1","0","0"
"51","F","Deeney, Troy - WAT","FA","MUN Sat 12:45PM","273.97","273.97","1","1","90","0","1","1","3","1","0.3","0","2","0","0","0","19","1","1","1","0","0","0","0","0","1","36","23","63.9","9","0","0","0","0","1","0","0","0","0","2","2","3","1","0","0","0","9","15","7","10","0","0","0","0","0","19","0","0","0","0","0","0","0","2","0","10","0","0","0","1","0"
"52","M","Willian - CHE","FA","NOR Sat 3:00PM","273.87","273.87","1","1","84","0","0","4","1","0","0.0","0","1","2","1","0","14","0","2","0","0","0","0","0","0","0","38","33","86.8","20","6","0","6","0","1","0","0","1","0","0","0","4","2","0","0","0","6","7","0","3","0","0","0","0","0","14","0","1","0","0","0","0","0","2","0","17","0","0","0","1","0"
"53","M","Sissoko, Moussa - NEW","FA","LEIC Sat 3:00PM","273.61","273.61","1","1","90","0","0","1","0","0","0","0","0","1","1","0","26","0","1","0","0","0","0","0","0","0","36","22","61.1","15","6","1","5","0","2","0","0","1","0","1","1","4","3","0","0","0","7","2","2","0","0","0","0","0","0","26","0","0","0","0","0","0","0","2","0","14","0","0","0","1","0"
"54","M","Barkley, Ross - EVE","FA","AVL Sat 3:00PM","273.29","273.29","1","1","90","1","0","1","4","2","0.5","0","1","0","0","0","17","1","2","0","0","0","0","0","0","0","43","34","79.1","10","2","1","1","0","3","0","0","2","0","0","0","4","1","0","0","0","3","8","0","3","1","0","0","0","0","17","0","0","0","0","0","0","0","2","0","11","0","0","0","1","0"
"55","M","Oxlade-Chamberlain, Alex - ARS","FA","@WBA Sat 3:00PM","272.91","272.91","1","1","90","0","0","4","3","0","0.0","0","1","1","0","0","7","0","1","0","0","0","0","0","0","1","43","39","90.7","14","4","2","2","0","1","0","0","1","0","1","1","9","9","0","0","1","11","3","0","2","1","0","0","0","0","7","0","0","0","0","0","0","0","2","0","8","0","0","1","0","0"
"56","D","Cresswell, Aaron - WHU","FA","@TOT Sun 4:00PM","271.74","271.74","1","1","90","0","0","1","1","0","0.0","0","1","1","0","0","18","1","0","0","0","0","0","0","0","0","39","29","74.4","8","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","1","2","2","1","1","0","0","0","0","0","18","0","0","0","0","0","0","0","0","22","22","1","1","0","0","1"
"57","D","Mbemba, Chancel - NEW","WW","LEIC Sat 3:00PM","270.94","270.94","1","1","90","0","0","0","0","0","0","0","0","3","3","0","3","1","0","0","0","0","0","0","0","0","48","45","93.8","6","0","0","0","0","0","0","0","5","0","6","6","0","0","0","0","0","6","6","3","5","0","0","0","0","0","3","0","0","0","0","0","0","0","2","14","14","0","0","0","1","1"
"58","D,M","Blind, Daley - MUN","FA","@WAT Sat 12:45PM","270.86","270.86","1","1","90","0","0","0","0","0","0","0","0","3","3","0","10","1","0","0","0","0","0","0","1","0","56","48","85.7","5","0","0","0","0","0","0","0","2","0","3","3","1","0","0","0","1","3","6","0","1","0","0","0","0","0","10","0","0","0","0","0","0","0","0","9","9","1","1","0","0","1"
"59","M","Obertan, Gabriel - NEW","FA","LEIC Sat 3:00PM","270.86","270.86","1","1","90","0","1","2","1","0","0.0","0","0","3","3","0","15","0","2","0","0","0","0","0","0","0","42","36","85.7","9","5","1","4","0","0","0","0","0","0","0","0","3","0","0","0","0","7","8","2","2","0","0","0","0","0","15","0","0","0","0","0","0","0","2","0","14","0","0","0","1","0"
"60","F","Diego Costa - CHE","FA","NOR Sat 3:00PM","270.85","270.85","1","1","90","0","0","1","1","1","1.0","0","0","1","1","0","18","1","1","0","0","0","0","0","0","2","34","29","85.3","13","1","0","1","0","2","0","0","0","0","1","1","7","1","0","0","0","4","13","1","4","0","0","0","0","0","18","0","0","0","0","0","0","0","2","0","17","0","0","0","1","0"
"61","D","Smalling, Chris - MUN","FA","@WAT Sat 12:45PM","270.84","270.84","1","1","90","0","0","0","0","0","0","0","0","5","4","0","9","0","0","0","0","0","0","0","0","0","55","46","83.6","3","0","0","0","0","0","0","0","3","0","7","5","0","0","0","0","1","5","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","9","9","1","1","0","0","1"
"62","M","Coutinho, Philippe - LIV","FA","@MCI Sat 5:30PM","270.06","270.06","1","1","90","1","0","1","3","1","0.3","0","1","0","0","0","19","0","1","0","0","0","0","0","0","0","44","32","72.7","16","1","0","1","1","1","0","0","1","0","0","0","6","4","0","0","0","5","5","0","1","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","7","1","1","0","0","0"
"63","D","Whittaker, Steven - NOR","FA","@CHE Sat 3:00PM","269.83","269.83","1","1","90","0","0","0","2","2","1.0","0","0","3","3","0","15","0","1","0","0","0","0","0","0","0","41","34","82.9","10","2","0","2","0","0","0","0","0","0","3","3","1","1","0","2","1","5","6","0","1","0","0","0","0","0","15","0","0","0","0","0","0","0","3","11","11","0","0","1","0","1"
"64","D","Martin, Russell - NOR","FA","@CHE Sat 3:00PM","268.82","268.82","1","1","90","0","0","0","0","0","0","0","0","2","2","0","10","0","1","0","0","0","0","0","0","0","56","46","82.1","8","0","0","0","0","1","0","0","1","0","5","5","0","0","0","0","0","5","0","2","0","0","0","0","0","0","10","0","0","0","0","0","0","0","3","11","11","0","0","1","0","0"
"65","D","Naughton, Kyle - SWA","FA","BOUR Sat 3:00PM","267.81","267.81","1","1","90","0","0","0","0","0","0","0","0","4","4","0","18","1","0","0","0","0","1","0","0","0","37","30","81.1","7","3","0","3","0","0","0","0","0","0","2","2","2","1","0","0","0","8","5","3","1","0","0","0","0","0","18","0","0","0","0","0","0","0","2","12","12","0","0","0","1","1"
