"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CIB","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T"
"46","M","Gosling, Dan - BOUR","FA","WHU Tue 7:45PM","276.9","276.9","1","1","90","0","0","1","0","0","0","0","0","1","1","0","10","0","4","0","0","0","0","0","0","0","49","44","89.8","18","1","0","1","0","0","0","0","0","1","0","2","1","5","4","0","0","1","11","4","2","1","1","0","0","0","0","11","0","0","0","0","0","1","0","1","0","7","0","1","0","0"
"47","D","Moreno, Alberto - LIV","FA","ARS Wed 8:00PM","276.8","276.8","1","1","90","0","0","1","1","0","0.0","0","0","2","2","0","20","1","0","0","0","0","0","0","0","0","50","40","80.0","11","5","0","5","2","0","0","1","0","1","0","2","1","0","0","0","0","0","2","4","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","3","6","6","0","0","1","0"
"48","M","Cork, Jack - SWA","FA","SUN Wed 7:45PM","274.86","274.86","1","1","73","0","0","1","1","1","1.0","0","0","2","0","0","16","0","1","0","0","0","0","0","0","1","65","56","86.2","11","4","0","4","0","0","2","0","0","1","0","1","1","0","0","0","0","0","3","2","0","0","0","0","0","0","0","16","0","1","0","0","0","0","0","0","0","6","1","0","0","1"
"49","D","Otamendi, Nicolás - MCI","WW","EVE Wed 7:45PM","273.96","273.96","1","1","90","0","0","0","0","0","0","0","0","3","2","0","3","2","0","1","0","0","0","0","0","0","57","55","96.5","5","0","0","0","0","0","0","1","0","4","0","8","6","0","0","0","1","0","3","6","0","3","0","0","0","0","0","5","0","0","0","0","0","0","0","2","8","8","0","0","1","0"
"50","M","Dembélé, Mousa - TOT","FA","LEIC Wed 8:00PM","273.94","273.94","1","1","90","0","0","0","0","0","0","0","0","3","3","0","11","3","5","0","0","0","0","0","0","0","51","48","94.1","3","0","0","0","0","0","0","0","0","2","1","0","0","3","3","0","0","0","12","8","1","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","11","1","1","0","0"
"51","D","Azpilicueta, César - CHE","FA","WBA Wed 7:45PM","273.83","273.83","1","1","90","0","0","0","0","0","0","0","0","3","2","0","11","3","0","0","0","0","0","0","0","0","52","43","82.7","10","0","0","0","0","0","0","0","0","3","0","4","3","0","0","0","0","0","4","7","1","0","0","0","0","0","0","12","0","0","0","0","0","0","0","1","11","11","0","1","0","0"
"52","M","Sigurdsson, Gylfi - SWA","FA","SUN Wed 7:45PM","273.81","273.81","1","1","90","0","0","3","5","0","0.0","0","5","0","0","0","19","2","0","0","0","0","0","0","0","0","37","30","81.1","10","11","4","7","8","3","2","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","11","1","0","0","1"
"53","F","Depay, Memphis - MUN","FA","@NEW Tue 7:45PM","272.85","272.85","1","1","90","0","0","0","1","0","0.0","0","0","0","0","0","19","0","3","0","0","0","0","0","0","0","40","34","85.0","18","9","2","7","1","0","2","0","0","1","0","0","0","4","3","0","0","0","6","2","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","2","0","6","0","0","1","0"
"54","D","Jones, Phil - MUN","FA","@NEW Tue 7:45PM","272.79","272.79","1","1","90","0","0","0","0","0","0","0","0","2","2","0","13","0","1","0","0","0","0","0","0","0","61","48","78.7","6","1","1","0","0","0","0","0","0","1","0","2","1","0","0","0","0","0","8","1","5","1","0","0","0","0","0","14","0","0","0","0","0","0","0","2","6","6","0","0","1","0"
"55","D","Fonte, Jose - SOU","FA","WAT Wed 7:45PM","271.5","271.5","1","1","90","0","0","0","0","0","0","0","0","1","0","0","24","1","0","1","0","0","0","0","0","1","42","21","50.0","3","0","0","0","0","0","0","1","0","4","0","4","3","0","0","0","0","0","9","5","8","2","0","0","0","0","0","25","0","0","0","0","0","0","0","2","12","12","0","0","1","0"
"56","D","Bellerín, Héctor - ARS","FA","@LIV Wed 8:00PM","270.85","270.85","1","1","90","0","0","0","0","0","0","0","0","3","3","0","13","0","0","0","0","0","0","0","0","0","33","28","84.8","5","3","0","3","0","0","2","1","0","3","0","6","4","3","2","0","0","0","6","3","1","0","0","0","0","0","0","15","0","0","0","0","0","0","0","1","20","20","0","1","0","0"
"57","D","Cresswell, Aaron - WHU","FA","@BOUR Tue 7:45PM","270.61","270.61","1","1","90","0","0","1","0","0","0","0","0","1","1","0","21","1","0","0","0","0","0","0","0","0","31","19","61.3","5","5","0","5","0","0","1","2","0","2","0","4","3","0","0","0","0","1","1","2","0","1","0","0","0","0","0","22","0","0","0","0","0","0","0","0","22","22","1","0","0","1"
"58","M","Fàbregas, Cesc - CHE","FA","WBA Wed 7:45PM","269.92","269.92","1","1","71","0","0","1","0","0","0","0","0","1","0","0","7","2","1","0","0","0","0","0","0","0","71","65","91.5","19","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","3","4","0","0","1","0","0","0","0","7","0","1","0","0","0","0","0","1","0","9","0","1","0","0"
"59","M","Özil, Mesut - ARS","FA","@LIV Wed 8:00PM","267.87","267.87","1","1","76","0","2","2","0","0","0","0","0","4","3","0","17","0","2","0","0","0","0","0","0","1","38","33","86.8","15","6","1","5","4","1","0","0","0","1","0","0","0","4","2","0","0","0","8","7","0","0","0","0","0","0","0","17","0","1","0","0","0","0","0","0","0","14","0","1","0","0"
